node_id,pt_root_id,nucleus_id,cell_type,x,y,z
849,864691134949095932,309514,6P-IT,758912.0,998784.0,981680.0
850,864691136484415020,307172,6P-IT,720512.0,965312.0,964120.0
851,864691135763549238,307081,6P-IT,729600.0,913344.0,929280.0
852,864691136603306193,307203,6P-IT,745792.0,911424.0,939560.0
853,864691135868415766,305238,5P-NP,773568.0,855232.0,922400.0
854,864691136814627955,298831,4P,769600.0,680640.0,837560.0
855,864691136452609023,264776,5P-IT,676992.0,742720.0,831160.0
856,864691135491891559,271698,6P-CT,713024.0,951424.0,900440.0
857,864691135503367517,305136,6P-CT,721856.0,876224.0,917880.0
858,864691135511977680,296611,4P,730112.0,599232.0,851600.0
859,864691135510406921,296743,4P,737728.0,590208.0,881600.0
860,864691136975300636,227723,4P,645248.0,651520.0,730560.0
861,864691135468948364,394538,4P,937664.0,609344.0,836320.0
862,864691135619294351,365663,4P,901248.0,644416.0,816440.0
863,864691136195526120,394342,4P,967680.0,604864.0,772080.0
864,864691136274546622,425602,4P,1012672.0,575616.0,723400.0
865,864691135527555163,228195,4P,608320.0,678400.0,854400.0
866,864691135342585541,363596,4P,856576.0,600832.0,892280.0
867,864691135977309763,225873,4P,629184.0,614016.0,757320.0
868,864691136120159768,227896,4P,595264.0,644480.0,794320.0
869,864691136138131325,394533,4P,934848.0,578304.0,835480.0
870,864691135276505573,194599,4P,540096.0,642240.0,809360.0
871,864691135209369465,330340,4P,845312.0,588224.0,814360.0
872,864691136125411622,192545,4P,588160.0,616192.0,791760.0
873,864691135617440105,264217,4P,675264.0,710976.0,730520.0
874,864691135134052512,260154,4P,690624.0,590528.0,760400.0
875,864691135346571423,396693,4P,960960.0,653440.0,827760.0
876,864691135386963541,363820,4P,858816.0,628800.0,936080.0
877,864691136523216017,296154,4P,741248.0,624320.0,746520.0
878,864691136025504569,227810,4P,635776.0,669824.0,761960.0
879,864691135499231763,298548,4P,757184.0,654592.0,765960.0
880,864691135336055529,226093,4P,617792.0,630144.0,820960.0
881,864691136101464181,363900,4P,860736.0,575936.0,978280.0
882,864691135885623408,307021,6P-IT,759872.0,958080.0,895320.0
883,864691135927533070,309351,6P-IT,743424.0,974464.0,943840.0
884,864691135430749232,226288,4P,606784.0,631744.0,884720.0
885,864691136489080850,194310,4P,548800.0,682688.0,736160.0
886,864691135756319186,396252,4P,936256.0,647040.0,740120.0
887,864691135877951571,332773,4P,817536.0,685056.0,803720.0
888,864691135853091015,298812,4P,756672.0,673088.0,831120.0
889,864691136136383883,428864,4P,1004864.0,652224.0,989600.0
890,864691135417443514,296113,4P,722624.0,601280.0,742120.0
891,864691135731889337,362959,4P,895680.0,588288.0,781280.0
892,864691135417478842,225881,4P,633344.0,612480.0,777360.0
893,864691135662059248,260489,4P,660608.0,627968.0,838080.0
894,864691135947629348,194731,4P,586304.0,685696.0,784480.0
895,864691135662059760,395147,4P,974208.0,608064.0,965520.0
896,864691135576991518,362932,4P,881472.0,605120.0,778840.0
897,864691135646147567,194975,4P,579648.0,691712.0,869840.0
898,864691135970210661,267193,5P-IT,700416.0,792832.0,849200.0
899,864691135274038801,294510,23P,768640.0,561344.0,827720.0
900,864691136967478222,303138,5P-IT,734720.0,772160.0,894680.0
901,864691135430346544,301122,5P-IT,771584.0,768128.0,854680.0
902,864691136238090767,264846,5P-IT,714624.0,732096.0,823560.0
903,864691135885406064,303087,5P-IT,755584.0,798272.0,842680.0
904,864691135720061233,302840,5P-IT,742656.0,800768.0,806400.0
905,864691136603221201,426330,4P,1011008.0,629120.0,920280.0
906,864691136596107938,193069,23P,548672.0,577600.0,963240.0
907,864691136619882637,614235,5P-IT,1422976.0,634176.0,777360.0
908,864691135464787525,490689,4P,1168704.0,636288.0,774320.0
909,864691135655472066,262057,4P,668672.0,640384.0,736960.0
910,864691136010028974,493333,5P-IT,1124032.0,685696.0,882000.0
911,864691136135963787,422097,23P,988352.0,459520.0,821760.0
912,864691135778187360,522520,4P,1215040.0,638144.0,907360.0
913,864691136298045979,492688,5P-IT,1127360.0,663040.0,723000.0
914,864691135763941174,223016,23P,654720.0,445568.0,927880.0
915,864691135810982860,260895,4P,680128.0,627648.0,956920.0
916,864691136228538961,493375,4P,1146816.0,643840.0,884360.0
917,864691135066892868,326237,23P,827648.0,478528.0,861080.0
918,864691135273918993,553219,23P,1285824.0,461952.0,756760.0
919,864691135763495478,485867,23P,1137728.0,430016.0,964880.0
920,864691136391034487,299043,4P,736704.0,663040.0,891360.0
921,864691135763447862,274195,6P-CT,721024.0,974656.0,978880.0
922,864691135989998080,307074,6P-CT,722880.0,949440.0,905320.0
923,864691136488621842,307239,6P-CT,779776.0,954176.0,961440.0
924,864691136579217172,309421,6P-IT,778880.0,1021888.0,956760.0
925,864691135738953860,294504,23P,763456.0,511744.0,829080.0
926,864691136010027182,303158,5P-IT,753536.0,774464.0,881240.0
927,864691136228491601,294589,23P,766144.0,574208.0,859240.0
928,864691136438717086,262946,4P,707456.0,673344.0,891400.0
929,864691136674749575,291175,23P,750016.0,411584.0,866240.0
930,864691135662802416,262889,4P,684800.0,659968.0,891160.0
931,864691136288644291,264990,5P-IT,680704.0,712320.0,893680.0
932,864691135448215698,299072,4P,751360.0,678592.0,890280.0
933,864691135717299738,262700,4P,708032.0,688704.0,820400.0
934,864691136381243349,296803,23P,770944.0,582080.0,882920.0
935,864691135656664770,262419,4P,681536.0,670656.0,811880.0
936,864691135562048225,274060,6P-IT,715584.0,1023808.0,956120.0
